ESTRUCTURA BDD MEDIOS/PROGRAMAS																	
Datos generales del medio											Datos genericos de contacto1						
NOMBRE	WEB	TIPO DE MEDIO	PERIODICIDAD	ÁMBITO	SECTOR1	SECTOR2	SECTOR3	SECTOR4	SECTOR5	EMPRESA	DESCRIPCIÓN	DIRECCIÓN	CP	PROVINCIA	CIUDAD	TEL. FIJO	TELF. MOBIL
TRAVELPORT		Revista			Director /a							Via Augusta, 59	8006	Barcelona	Barcelona		933172050
Trendtation		Blog															
Trendtation		Blog															
Trendtation		Blog			Blogger												
TROFEO CAZA MAYOR		Revista												Madrid	Madrid		913 277 950
TROFEO CAZA Y CONSERVACIÓN		Revista			Productor/a									Madrid	Madrid		91 327 79 50
TTG CZECH		Revista			Redacción					TTG  		Šafaříkova 5	120 00	República Checa	Praga 2		0042 2 242 52562
TTG ITALIA		Internet medio digital			Redactor/a Web					TTG  		via Nota, 6	10122	Italia	Torino		011 43994 - 011 4366300
TTG MENA		Revista			Redactor/a					TTG  				Alemania			357 22843 834
TTG MICE		Revista			Redactor/a					TTG  		1 Science Park Road, #04-07	117528	Singapur	The Capricorn		65-6395-7575
TTG POLAND		Revista			Redactor/a					TTG  		ul. Świętokrzyska 36 lokal 45/23	00-116	Polonia	Warszawa		0048 22 215 40 13 - 0048 22 224 58 02
TTG UK		Internet medio digital			Redactor/a Web					TTG  		Ludgate House 245 Blackfriars Road	SE1 9UY	Reino Unido	London		
TU DIRÀS (RAC1)		Radio			Redacción					Radiocat XXI, SL		Diagonal 477, 15ª Planta	8036	Barcelona	Barcelona		93 270 44 00
TU SUERTE		Revista			Freelance												
TURISMO & ATTUALITÀ		Revista			Editor/a					Turismo & Attualità		Via di Santa Prisca, 16	153	Italia	Roma		06 5747450
TUTTO TURISMO		Revista			Secretario/a de redacción					Tuttoturismo di Riccardo Paolotti & C. s.a.s		Via Campo di Marte 11	6124	Italia	Perugia		39. 075.5004600
TV3		TV			Redactor/a jefe/a					Televisió de Catalunya, S.A. 				Barcelona	Barcelona		
TVE		TV			Redacción					RTVE		Rbla. Xavier Cugat, 30-32	17007	Girona	Girona		97 221 98 73
Ufficio Spagnolo del Turismo		Revista profesional			Redactor/a					INSTITUTO DE TURISMO DE ESPAÑA				Italia			0039 02 72004625 
ULISSE ALITALIA MAGAZINE		Revista			Redactor/a					Ulisse Alitalia Magazine				Italia			064 20241
ULTIMATE BEAUTY		Revista profesional			Redactor/a jefe/a							 Príncipe de Vergara Nº109	28002	Madrid	Madrid		91 447 12 02
UrbanityInternet		Blog															
VALOR AFEGIT (TV3)		TV			Director/a					Televisió de Catalunya, S.A. 		Carrer de Jacint Verdaguer 0	8970	Barcelona	Barcelona		93 499 93 33
VANIDAD		Revista			Freelance							 Pizarro 22, local dcha.	28004	Madrid	Madrid		91 524 00 25
VANITY FAIR 		Revista			Redactor/a jefe/a					Ediciones Condé Nast, S.A		Paseo de la Castellana 9-11 2ª planta	28046	Madrid	Madrid		91 700 41 70
VANITYFAIR.ES		Internet medio digital			Redactor/a					Ediciones Condé Nast, S.A		Pº de la Castellana, 9-11, 2º	28046	Madrid	Madrid		91 700 41 70
VEREMA.COM		Internet portal temático			Coordinador/a												
VERSIÓ RAC1		Radio			Director /a					Radiocat XXI, SL		Diagonal 477, 15ª Planta	8036	Barcelona	Barcelona		
VIA LLIURE (RAC1)		Radio			Redactor/a					Radiocat XXI, SL		Diagonal 477, 15ª Planta	8036	Barcelona	Barcelona		93 270 44 00
VIAJAR		Revista			Director /a					Ediciones Reunidas, S.A.		C/Orduña, 3 - 3º	28034	Madrid	Madrid		915863300
VIAJAR (ABC)		Suplementos			Coordinador/a					DIARIO ABC, S.L.		Calle Juan Ignacio Luca de Tena, 7	28027	Madrid	Madrid		913 399 000
VIAJAR (LA VANGUARDIA)		Suplementos			Coordinador/a					PRISMA PUBLICACIONES		Av. Diagonal 662-664	8034	Barcelona	Barcelona		93 270 45 50
VIAJAR CON HIJOS		Revista			Redactor/a jefe/a					CSR Junior 		C/Bolsa, 1, 2º 2ª	28015	Málaga	Málaga		952 121950
VIAJEROS		Revista			Redactor/a									Madrid	Madrid		91 404 24 88
ViajerosHoy.com		Internet portal temático			Director /a												
VIAJES NATIONAL GEOGRAPHIC		Revista			Delegado/a de public./editorial					RBA Revistas SL		Av. Diagonal, 189	8018	Barcelona	Barcelona		93 415 73 74
VIAJES Y TURISMO BLOG		Blog			Redacción										-		-
VIAJES Y VACACIONES		Blog			Blogger									Madrid	Madrid		91 571 75 41
VIATGES 365		Blog			Blogger									Barcelona	Barcelona		-
VICIOUS		Revista			Redactor/a									Madrid	Madrid		91 375 02 83
VIDAPREMIUM.ES		Internet portal temático			Redactor/a jefe/a					Vidapremium							
VI-FRANC		Blog			Periodista Blogger					Vi-franc							
VILAWEB		Internet portal temático			Redacción					Partal, Maresma i Associats S.L.		Catalunya Nord			Perpinyà		
VIMOMENTSPERSONES		Blog			Redactor/a					Vimomentspersones							
VINIESFERA.COM		Blog			Periodista Blogger					Viniesfera.com							
VINOS Y RESTAURANTES		Revista			Director/a					Curt Ediciones, SA		Consell de Cent, 398	8009	Barcelona	Barcelona		93 318 01 01
VIVIR EN EL CAMPO		Revista			Redactor/a												93 844 47 33
VOGUE		Revista			Director /a					Ediciones Condé Nast, S.A		Pº de la Castellana, 9-11, 2º	28046	Madrid	Madrid		91 700 41 70
VOGUE SUPLEMENTOS		Suplementos			Estilista					Ediciones Condé Nast, S.A		Pº de la Castellana, 9-11, 2º	28046	Madrid	Madrid		91 700 41 70
VOGUE.ES		Internet medio digital			Redactor/a					Ediciones Condé Nast, S.A		Pº de la Castellana, 9-11, 2º	28046	Madrid	Madrid		91 702 30 23
VOYAGER MAGAZINE		Revista			Redactor/a					Voyager Magazine				Reino Unido	London		0044 20 7613 8777
Voz Populi		Internet portal temático			Director /a									Madrid	Madrid		913 185 940
WAPA MAGAZINE		Revista			Redactor/a Web							AVENIDA MANOTERAS, 26, 3ª PLANTA		Madrid	Madrid		91339 6860
Wines and The City		Blog			Freelance							C/ Vallespir, 65	8014	Barcelona	Barcelona		
WOMAN MADAME FIGARO 		Revista			Coordinador /a					Ediciones Reunidas, S.A.		 Consell de Cent, 425	28009	Barcelona	Barcelona		934  846 600
XATAKA		Internet medio digital															
XaviWorld		Blog															
XaviWorld		Internet medio digital															
XISHANG		Internet medio digital															
XL SEMANAL		Suplementos			Coordinador Editorial					TALLER DE EDITORES, S.A.		 Juan Ignacio Luca de Tena, 7	28007	Madrid	Madrid		91 327 83 00
YA POKUPAYU		Revista			Redactor/a							 Muntaner, 216	8036	Barcelona	Barcelona		936671433
YO DONA		Revista			Estilista					Unidad Editorial Revistas SLU		Avda. San Luis, 25-27	28033	Madrid	Madrid		91 443 66 60
YODONA.COM		Internet medio digital			Coordinador/a					Unidad Editorial Internet, S.L.		 Avda. San Luis,25	28033	Madrid	Madrid		91 443 50 00
YOROKOBU		Revista			Director/a									Madrid	Madrid		914 157 283
ZAI MAGAZINE		Revista			Director/a							Gran Via 69, Planta 4, oficina 413	28013	Madrid	Madrid		
ZONA DEPORTISTAS		Revista			Delegado/a de public./editorial									Madrid	Madrid		91 815 14 76
					Publicidad					PUBLIPRESS MEDIA		Diagonal, 477	8036	Barcelona	Barcelona		93 344 30 33
					Editor/a					SPAIN MEDIA MAGAZINES		 Doctor Fourquet 3	28012	Madrid	Madrid		912 010 040
